問題文	答え	メモ	ジャンル
別名「津軽海峡線」という、ヒグマなどの南限、ツキノワグマなどの北限を示す境界線を、提唱した動物学者の名前から「何線」というでしょう？	ブラキストン線	他の生物分布境界線にウォレス線やウェーバー線などがあります。	
ロシア語で「基準」という意味である、仕事などで個人に課せられる仕事量のことを何というでしょう？	ノルマ	「営業ノルマ」などという使われ方をしますね。	
肉や魚を調理する際、臭みを消すために入れられる香草類を束ねたものを何というでしょう？	ブーケガルニ	パセリやタイムなど、数種類の香草類を束ねたものとなります。	
仏教用語では「四苦」と呼ばれる、人生で避けられない４つの苦しみのことを四字熟語で何というでしょう？	生老病死	「生」すら苦なのが深いですね。	
アイドルの握手会などで、アイドルと長時間話すファンを追い立てるスタッフのことを俗に何というでしょう？	剥がし	その名の通り、アイドルからファンを剥がします。	
公営競技やスポーツ振興くじなどで採用されている、コンピュータがランダムに投票券を選択する方式を何というでしょう？	クイックピック	番号を自分では選べないことになります。	
才色兼備な青年ジュリアン・ソレルを主人公とする、サマセットモームの『世界の十大小説』にも挙げられているスタンダールの小説は何でしょう？	赤と黒	ソレルの愛するレナール夫人はスタンダールの母親がモデルになっていると言われています。	
「万物の根元は火である」と提唱した古代ギリシアの哲学者は誰でしょう？	ヘラクレイトス	各哲学者が唱えた万物の根源(アルケー)については以下でまとめています。	
ドイツ語では「土地」という意味であるが、日本ではスキー場を意味する言葉は何でしょう？	ゲレンデ	前半部分で答えたいところです。	
「強み」「弱み」「機会」「脅威」の4つを分析評価して経営戦略などを立てることを、それぞれの英語の頭文字を用いて「何分析」というでしょう？	SWOT分析	Strength（強み）、Weakness（弱み）、Opportunity（機会）、Threat（脅威）の頭文字からこう呼ばれます。	
強いお酒を飲んだ後に飲む水や弱いお酒のことを、「追うもの」も意味する英語から何というでしょう？	チェイサー	お酒に弱い人には必須です。	
郵便物において、名宛人に封筒を開封してもらうことを要求する言葉は何でしょう？	親展	重要な書類のときは封筒に書かれています。間違って開けないようにしましょう。	
白樺派の作家で、代表作に『生れ出づる悩み』『小さき者へ』『或る女』などがあるのは誰でしょう？	有島武郎	他の白樺派の作家には、志賀直哉や武者小路実篤などがいます。	
和歌における修辞法で、1つの言葉に2つ以上の意味を持たせることを何というでしょう？	掛詞	同音異義語などを利用します。限られた文字数で表現する和歌では重要な修辞法になります。	
家電製品などに取り付けられている、その機器が動作中であることを示すランプを何というでしょう？	パイロットランプ	表示灯ともいいます。	
その見た目がカエルの手に似ていることから名前がついた、英語では「メープル」という植物は何でしょう？	カエデ	漢字では「楓」と書きます。	
留学生がその国の一般家庭で寝泊まりして生活体験をすることを英語で何というでしょう？	ホームステイ	ホームステイをさせてくれる家庭のことをホストファミリーといいます。	
『源氏物語』の「橋姫」から「夢浮橋」までの最後の10帖のことを、主な舞台となっている京都の地名から何というでしょう？	宇治十帖	この10帖は他と異なることから、紫式部以外の人が書いたのではないかとも言われています。	
自転車レースのツール・ド・フランスにおいて、総合成績1位の選手に与えられる黄色いジャージを何というでしょう？	マイヨ・ジョーヌ	誰がトップなのかをわかりやすくするという狙いがあります。	
つくしの茎を覆っている皮のことを、衣服に例えて何というでしょう？	はかま	調理の際には取り除かれることが多いです。	
「わだばゴッホになる」という言葉で知られる、青森県出身の版画家は誰でしょう？	棟方志功	「わだ」は津軽弁で「私」という意味です。ゴッホに強い影響を受けたとされています。	
人口の半分以上を65歳以上が占め、社会生活の維持が困難となっている過疎地域のことを「何集落」というでしょう？	限界集落	65歳以上の方が70%を超えた集落を「危機的集落」と言います。	
古代ギリシャの彫刻や飛鳥時代の仏像に見られる、口角だけ上がった微笑みの表情を何というでしょう？	アルカイック・スマイル	生命感や幸福感を演出するためのものだと言われています。	
北九州市は福岡県にありますが、南九州市は何県にあるでしょう？	鹿児島県	パラレル問題については以下を参考にしていください！	
「山勘」の語源になった人物である、武田信玄に仕えた戦国時代の軍師は誰でしょう？	山本勘助	武田二十四将の1人で、計略に長けていました。神がかった戦略を立てたことから、一か八かで策を巡らすことを山勘というようになったとされています。	
救急車が近づくときにサイレンの音が高く聞こえるのはこの効果によるものである、音源が観測者に対して相対速度をもつと音の高低が変化して聞こえる現象を何というでしょう？	ドップラー効果	オーストリアの物理学者クリスチャン・ドップラーが数式を見出しました。	
レンガや石材で造られる、暖炉の周囲の飾り枠のことを何というでしょう？	マントルピース	意外なものの名前はクイズによく出ます。	
2016年に正式に名称が認定されるまでは「ウンウントリウム」と呼ばれていた、原子番号113番、元素記号Nhの元素は何でしょう？	ニホニウム	森田浩介らのグループが亜鉛をビスマスに衝突させることで合成に成功しました。元素に関するクイズは以下にまとめてあります。	
元々は囲碁で「最善とされる決まった打ち方」を指し、転じて「物事を行うときの最も良い方法」を表すようになった言葉といえば何でしょう？	定石	囲碁が由来の言葉は多いです。	
互いの色を引き立て合う効果がある、色相環で正反対に位置する色の関係のことを漢字2文字で何というでしょう？	補色	手術服が緑なのは、血液の補色にすることで血液の残像を消すためです。	
冬の大三角を構成する3つの星とは、オリオン座のベテルギウス、おおいぬ座のシリウスとこいぬ座の何でしょう？	プロキオン	クイズによく出る星の知識については以下からどうぞ！	
ウマやネコなどの哺乳類が、特定の匂いに反応して唇を引き上げる生理現象のことを何というでしょう？	フレーメン反応	嗅覚器官を晒すことでより多くの匂いを取り入れる効果があるとされています。	
スポーツのカバディにおいて、攻撃側が「カバディ、カバディ」と発声し続ける行為を何というでしょう？	キャント	英単語「chant」は「唱える」という意味があります。カバディでは攻撃側を「レイダー」、守備側を「アンティ」と呼ぶことも覚えておきましょう。	
アメリカの心理学者クレイグ・ブロードが提唱した、コンピューターなどの機器を長時間使用することで引き起こされるストレスを何というでしょう？	テクノストレス	似た言葉でVDT障害がありますが、こちらは眼精疲労や肩こりなど、身体的な症状にフォーカスされることが多いです。	
ウルグアイの首都はモンデビデオですが、パラグアイの首都はどこでしょう？	アスンシオン	クイズによく出る首都については以下にまとめてあります！	
｢科学には国境はないが、科学者には祖国がある｣という名言でも知られる、狂犬病ワクチンやコレラワクチンの開発といった功績をもつ生化学者は誰でしょう？	ルイ・パスツール	ロベルト・コッホと共に近代細菌学の開祖とされています。名言で押せるようにしましょう。	
アメリカの動物学者エドワード・モースが発見したことから「モース貝塚」とも呼ばれる、東京都にある縄文時代の貝塚を何というでしょう？	大森貝塚	発見者の名前も覚えておきましょう。	
速度制限のない区間があることでも知られる、ドイツなどにある高速道路を何というでしょう？	アウトバーン	第二次世界大戦中には、飛行機の滑走路としても使われました。	
楽天Edyの「Edy」が指す３つの通貨単位とは、ユーロ、ドルともう1つは何でしょう？	円	楽天Edyはプリペイド型の決済サービスです。順番的に円が答えになることが多いです。3つまとめて覚えるものは以下の記事をご参照ください！	
昔は天秤棒で担いで売り歩いたことから名付けられた、中国四川料理の1つは何でしょう？	担々麺	名前の由来はクイズに聞かれやすいです。	
画家のダリがデザインしたヒナギクのロゴでも知られる、1958年にスペインのカタルーニャで誕生した棒付きキャンディは何でしょう？	チュッパチャプス	チュッパチャプスの考案者であるアンリック・バルナットがダリと食事をした際にデザインを依頼したそうです。	
蒲生君平、高山彦九郎と共に「寛政の三奇人」と呼ばれる、主な著書に『三国通覧図説』『海国兵談』などがある江戸時代の経済学者・地理学者は誰でしょう？	林子平	『三国通覧図説』は琉球、朝鮮、蝦夷の地理を図示・解説したものです。『海国兵談』は日本における海防の重要性を説いた本となります。	
ヤギとヒツジは共に何科の動物でしょう？	ウシ科	ヒツジ科やヤギ科は存在しません。	
アラビア語で「帰依した者」という意味がある、イスラム教の信者を指す言葉は何でしょう？	ムスリム	語源問題はよく出ます。よく出る語源問題は以下にまとめてあります。	
フランス人医師のルネ・ラエンネックが発明した、医者が心臓・肺・血管などの音を聞くのに用いる診察道具は何でしょう？	聴診器	発明者ルネ・ラエンネックの名前も覚えておきましょう。	
本堂の石柱にショパンの心臓が納められている、ポーランドのワルシャワにある教会は何でしょう？	聖十字架教会	ショパンの遺体はパリにあります。祖国への帰還が叶わなかった彼の思いを汲んで、姉のルドヴィカが心臓だけでもとポーランドに持ち込みました。	
ラテン語で「小さな王」という意味がある、しし座のα星は何でしょう？	レグルス	有名なアルファ星は覚えておきましょう！	
オランダの教師ニッコ・ブロックフィセが考案した、男女混合で行うバスケットボールに似たスポーツは何でしょう？	コーフボール	男女4人ずつの計8人で1チームとなります。バスケットボールとは違い、ゴールの後ろに板はなく、360度どこからでもシュートが可能です。	
岐阜県の白川郷や富山県の五箇山などで見られる、急勾配の茅葺かやぶきの屋根を特徴とする建築様式は何でしょう？	合掌造り	以下のような様式です(AIによって生成)。	
競馬や競輪で騎手が着るユニフォームと、異性の気を引くために着る衣服に共通する言葉は何でしょう？	勝負服	後者はよく聞くかもしれませんが、競馬や競輪でも使われます。	
正式には「溜席」という大相撲の土俵近くの座布団席のことを、あるものが飛んでくることから何というでしょう？	砂かぶり	最も土俵に近いため、取り組み中に砂が飛んできます。	
代表作に『スペイン奇想曲』『シェヘラザード』などがある、ロシア5人組の1人は誰でしょう？	リムスキー=コルサコフ	ロシア5人組の覚え方については以下からどうぞ！	
地下1階を表す「B1」の「B」は、何という英単語の略でしょう？	Basement	「地下」という意味です。屋上を表す「R」は屋根を表す「Roof」の略です。略語については以下の記事を参考にしてください。	
レア、タイタン、ミマスといえば、いずれもどの太陽系の惑星の衛星でしょう？	土星	土星には150近くの衛星が見つかっています。代表的なこの3つは覚えておきましょう。	
日本神話における「三種の神器」とは、天叢雲剣、八咫鏡とあと1つは何でしょう？	八尺瓊勾玉	並列問題ですので、「読ませ押し」をしましょう！読ませ押しについても以下の記事で紹介しています。	
「アキレスと亀」「飛んでいる矢は止まっている」などが有名な思考実験のことを、これらを提唱した古代ギリシアの名前から「誰のパラドックス」というでしょう？	ゼノンのパラドックス	「アキレスと亀」「飛んでいる矢は止まっている」などはパラドックスの中でも有名です。	
フェデリコ・フェリーニ監督の映画『甘い生活』で初めて使われた、有名人を追いかけまわすカメラマンを指す言葉は何でしょう？	パパラッチ	イタリア語で「うるさい虫」を指します。映画名も合わせて覚えましょう。	
小麦粉に混ぜることで弾力性が生じることから中華麺などを作る際に用いられる、炭酸ナトリウムや炭酸カリウムを主成分とするアルカリ水は何でしょう？	かん水	中華麺の色味はこのかん水によって生じます。	
武田信玄の「甲州法度之次第」や伊達稙宗の「塵芥集」などが代表的である、戦国時代に大名が自身の領地を統治するために制定した法令を何というでしょう？	分国法	大名が治めていた領地を分国と呼んでいました。	
ナポレオンのエジプト遠征のときに発見されて大英博物館に展示してある、ヒエログリフ解読のきっかけとなった石碑を何というでしょう？	ロゼッタストーン	同じ内容の文章がヒエログリフ、デモティック、ギリシア文字のそれぞれで書かれていたため、ヒエログリフ解読のきっかけとなりました。	
フランス語で「隠れ家」という意味である、エカチェリーナ2世によって作られたロシアの美術館は何でしょう？	エルミタージュ美術館	小エルミタージュ、旧エルミタージュ、新エルミタージュ、エルミタージュ劇場、冬宮殿という5つの建物から構成されています。	
よくある質問を意味する「FAQ」とは、何という英語の略でしょう？	Frequently Asked Question	Frequentlyは「頻繁に」という意味です。ベタ問もある意味FAQなのかも？略語については以下にまとめてあります。	
本名を「ウィリアム・シドニー・ポーター」という、代表作に『最後の一葉』『賢者の贈り物』などがあるアメリカの小説家は誰でしょう？	オー・ヘンリー	アメリカまたはカナダで出版された英語の短編小説に対して授与される「オー・ヘンリー賞」にも名前を残しています。	
あることを引き出すきっかけのことを、ポンプの水が出ない時に入れられる水に例えて何というでしょう？	呼び水	「ポンプの水が出ない時」がキーワードです。	
茶葉が黒く曲がっていることから名付けられた、緑茶と紅茶の中間に位置する中国の半発酵茶は何でしょう？	烏龍茶	烏のように黒く、龍の爪のように曲がっていることから名付けられました。	
水泳の泳法で、「バックストローク」といえば背泳ぎのことですが、「ブレストストローク」といえば何のことでしょう？	平泳ぎ	「ですが問題」です。ですが問題については以下の記事を参照してください。	
香水などを噴霧ふんむするための容器のことを、「霧に吹くもの」という意味の英単語から何というでしょう？	アトマイザー	「atmize」は「原子にする」というのが元の意味で(原子を意味するアトムから来ています)、そこから「粉砕する」「霧に吹く」といった意味があります。	
別名を「フィックス窓」という、壁などに直接はめ込まれた開閉することができない窓のことを何というでしょう？	はめ殺し	換気ではなく、主に採光目的で用いられます。	
和歌などで、過去に作られた和歌を一部取り入れる作成技法を何というでしょう？	本歌取り	取り入れられる和歌のことを「本歌」もしくは「古歌」といいます。	
世界三大珍味の1つであるキャビアとは、何の卵を塩漬けにしたものでしょう？	チョウザメ	キャビア・トリュフ・フォアグラが世界三大珍味とされています。世界三大ついては以下の記事を参照してください。	
横273mm、縦406mm程度である、一般的な新聞の半分程度のサイズのことを「何判」というでしょう？	タブロイド判	「タブロイド版」とも表記されますが、「タブロイド判」が本来の正しい表記です。一般的な新聞紙のサイズは「ブランケット判」と呼ばれます。	
カウボーイなどが被るつばが広く山が高い帽子のことを、そこに入る水の量を誇張した表現で「何ハット」というでしょう？	テンガロンハット	10ガロンはおよそ37.85リットルです。実際はそこまでの水は入りませんね。	
上田市があるのは長野県ですが、下田市があるのはどこでしょう？	静岡県	似た名前の市は、「ですが問題」としてクイズによく出ます。	
映画『ローマの休日』でオードリー・ヘップバーンがジェラートを食べるシーンで有名な、イタリアのローマにある広場は何でしょう？	スペイン広場	近くにスペイン大使館があることから名付けられました。バルカッチャの噴水や大階段などで有名です。現在は飲食が禁止されているため、ジェラートを食べないようにご注意を。	
チワワの丸みを帯びた特徴的な額のことを、その形がある果物に似ていることから何というでしょう？	アップルドーム	りんごのような形をしていることからこのように呼ばれます。	
「一億総白痴化」「口コミ」「駅弁大学」などの流行語を生み出した、「マスコミの帝王」と呼ばれたジャーナリストは誰でしょう？	大宅壮一	昭和の言論界をリードした人物です。	
猫が手足を体の下に折りたたんで背を丸める座り方のことを、ある道具にたとえて何というでしょう？	香箱座り	香箱とは、香木などを入れておく箱のことです。うさぎやライオンなどが行うこともあります。	
別名を「うさぎうま」という、グリム童話『ブレーメンの音楽隊』にも登場するウマ科の動物は何でしょう？	ロバ	耳が長いことから「うさぎうま」と呼ばれます。『ブレーメンの音楽隊』で泥棒を驚かす時は一番下で他の3匹を支えていました。	
アメリカの首都はワシントンD.C.ですが、同国のワシントン州の州都はどこでしょう？	オリンピア	ワシントンD.C.とワシントンをかけた「ですが問題」です。	
岩津、深谷、九条、下仁田などのものが有名な、ヒガンバナ科に属する野菜は何でしょう？	ネギ	前半の列挙で正解したいところです。	
サッカーのゴールにおいて、縦の柱をゴールポストといいますが、横の柱を何というでしょう？	クロスバー	単に「バー」といったりもします。	
地球の自転や公転要素の変動により数万年から数十万年周期で見られる日射量の変化のことを、発見者の名前から何というでしょう？	ミランコビッチ・サイクル	氷期と間氷期の周期的な抗体を説明する考えです。ミランコビッチはユーゴスラビアの地球物理学者です。	
骨つき肉の一方の端を巻く紙のことや、血圧測定の際に腕に巻きつけるベルトのことを何というでしょう？	マンシェット	見たことはあるけど名前がわからないものはクイズによく出ます。通称「あれの名前」は以下の記事でまとめています。	
太陽と地球の平均距離である約1億4960万kmを1とする、主に天文学で使われる単位といえば何でしょう？	天文単位	同じく天文学でよく使われる単位として「光年」があります。これは光が1年で進む距離である約9.5兆kmを1とする単位です。	
長岡半太郎、本多光太郎とともに「理研の三太郎」と称される、1910年に米糠こめぬかからビタミンB1の抽出に成功して「オリザニン」と命名した日本の化学者は誰でしょう？	鈴木梅太郎	ビタミンB1が不足すると脚気などの症状が現れます。	
「よく遊べ」を意味するデンマーク語から名前が付けられた、ブロック玩具で知られるデンマークのメーカーは何でしょう？	LEGO	「leg godt」を略して名付けられました。	
ドイツ語では「魔女の一撃」を意味する「ヘクセンシュウス」と呼ばれる、重いものを持ち上げた時などに突然起こる腰痛を何というでしょう？	ぎっくり腰	「急性腰痛症」ともいいます。	
吉香公園と共に日本さくら名所100選に選ばれている、山口県岩国市の錦川にしきがわにかかる5つのアーチを持つ橋は何でしょう?	錦帯橋	近くにある岩国飛行場の別名を「岩国錦帯橋空港」といいます。	
手のひらを大きく広げてものを掴むことを、ある鳥を使った表現で何というでしょう？	鷲掴み	「手のひらを大きく広げて」で押せるようにしましょう。	
筒井康隆、小松左京と共に「日本SF御三家」と呼ばれる、「ショートショートの神様」と称される日本のSF作家は誰でしょう？	星新一	「ショートショート」とはとても短い作品のことです。	
『荒城の月』の作曲者は瀧廉太郎ですが、作詞者は誰でしょう？	土井晩翠	土井晩翠の詩に瀧廉太郎が曲をつけました。	
メキシコ料理のタコスでは食材を包むのに用いられる、すりつぶしたとうもろこしの粉や小麦粉から作る薄焼きのパンのことを何というでしょう？	トルティーヤ	スペインではオムレツのことを意味します。	
サーフィンで、サーフボードに腹ばいになって手で水をかいて前進することを何というでしょう？	パドリング	元々はカヌーでパドルを使用して漕ぐことを意味していましたが、サーフィンでも使われるようになりました。	
スペイン語で「仮面」という意味である、まつげを濃く長く見せるための化粧品を何というでしょう？	マスカラ	「マスク」から考えると分かりやすいですね。	
北欧神話に登場する運命の女神「ノルン三姉妹」の3人とは、過去を司る長女のウルド、現在を司る次女のベルダンディーと、未来を司る三女の誰でしょう？	スクルド	順番的にスクルドが答えになることが多いです。3つまとめて覚えるものは下記の記事を参照してください。	
「二次電池を完全に放電していない状態で充電を繰り返すと、見かけの電池の容量が低下する」という現象を何というでしょう？	メモリー効果	充電前の充電レベルを電池が記憶(メモリー)して、そのレベルに達すると電圧が低下するようになってしまいます。	
英語では「アイスアックス」という、杖の先につるはし状の金具をつけた登山用具をドイツ語で何というでしょう？	ピッケル	氷雪面に足場を刻んだり、体を支えたりするのに用いられます。	
悪天候時に船のマストの先端などから青白い光が現れる現象を、船乗りの守護聖人の名前から「何の火」というでしょう？	セントエルモの火	教会の尖塔などの先端の尖ったもので発生します。	
視力矯正を目的とせず、おしゃれのためにかける眼鏡のことを「何眼鏡」というでしょう？	伊達眼鏡	「伊達」には「見栄を張ること、外見を飾ること」という意味があります。	
1965年にジェミニ4号のパイロットとしてアメリカ人初の宇宙遊泳を行った宇宙飛行士は誰でしょう？	エドワード・ホワイト	宇宙飛行士のクイズはよくでます。	
1402年、ティムール朝がオスマン帝国を破って皇帝バヤズィト1世を捕らえた戦いを、戦いの起きた場所から「何の戦い」というでしょう？	アンカラの戦い	ティムール朝がオスマン帝国の領地を侵略しました。バヤズィト1世は捕虜のまま死去し、オスマン帝国は事実上の崩壊を余儀なくされ、その発展が大きく遅れることとなります。	
『失楽園』においては太陽を司っている、ヘブライ語で「神の炎」を意味する四大天使の一人は誰でしょう？	ウリエル	ミカエル、ガブリエル、ラファエル、ウリエルが四大天使とされています。	
英語で「ジョイント」という、石やレンガなどを積んだ際にできる継ぎ目のことを何というでしょう？	目地	タイルの継ぎ目のことも目地といいます。石積みの時に石を密着させて隙間がないものを盲目地といいます。	
数字を表す英語で、「100万」は「ミリオン」、「10億」は「ビリオン」といいますが、「1兆」は何というでしょう？	トリリオン	3つ並ぶ「ですが問題」です。焦って早めに押して「ビリオン」と答えないように注意しましょう。	
ミランダ、チタニア、アリエルといえば、どの太陽系の惑星の衛星でしょう？	天王星	天王星には30近くの衛星が発見されています。その中でも問題文の3つは覚えましょう。	
金属と強酸を反応させることで水素を発見した、ケンブリッジ大学に所属する研究所に名前を残すイギリスの化学者は誰でしょう？	キャベンディッシュ	水素の単離に成功し、「燃える空気」と名付けました。「水素」と名前をつけたのはラボアジェです。キャベンディッシュ研究所では、DNAの二重らせん構造の発見で有名なクリックが研究をしていました。	
ドイツの法哲学者グスタフ・ラートブルフが提唱した、思想犯や政治犯のように自らの行為を正しいと信じて行われる犯罪を何というでしょう？	確信犯	俗に「悪いと分かりつつもわざと悪いことを行う」という意味で使われますが、本来の意味は問題文の通りです。	
太陽、シリウスに次いで全天で3番目に明るい、りゅうこつ座のα星は何でしょう？	カノープス	クイズによく出る星については以下の記事を参考にしてください。	
「日本三名泉」と呼ばれる3つの温泉とは、群馬県の草津温泉、兵庫県の有馬温泉と岐阜県の何温泉でしょう？	下呂温泉	これも3つまとめて覚える系ですね。	
宝石の「ダイヤ」といえばダイヤモンドのことですが、電車の「ダイヤ」といえば何のことでしょう？	ダイヤグラム	有名な「ですが問題」です。ですが問題は以下でたくさん挑戦できます。	
1953年3月14日に行われた衆議院解散のことを、当時の首相であった吉田茂の国会での発言から俗に「何解散」というでしょう？	バカヤロー解散	西村栄一議員に対して「馬鹿野郎」と発言しました。大きな声で発したのではなく、小声で呟いたのをマイクが拾ってしまいました。	
スペイン語で「1」という意味である、残り手札が1枚になった時にゲーム名を発するルールでもおなじみのカードゲームは何でしょう？	UNO	イタリア語でも「1」という意味です。1問目にふさわしい問題ですね。	
野菜の「ごぼう」を漢字で書いた時に登場する動物は何でしょう？	牛	「牛蒡」と書きます。	
運転免許を持っているものの、ほとんど運転をしない人のことを和製英語で何というでしょう？	ペーパードライバー	「ものの」という表現から、「運転しない」と続くことが予想できます。	
無声映画のことを「サイレント」といいますが、音の出る映画のことを何というでしょう？	トーキー	世界初のトーキー映画は1927年に公開された『ジャズ・シンガー』です。パラレル(ですが)問題は下記にまとめてあります。	
シュークリームの「シュー」とは、フランス語でどのような意味でしょう？	キャベツ	キャベツに形が似ていることから名付けられました。	
相手が言ったことをそっくりそのまま言い返すことを、ある鳥を用いた表現で何というでしょう？	オウム返し	鳥のオウムのように同じことを言うという意味です。	
日本で唯一、砂漠が存在する都道府県はどこでしょう？	東京都	三原山の噴火によって形成された裏砂漠や奥山砂漠が伊豆大島(東京都)に存在します。鳥取砂丘を思い浮かべた方もいるかもしれませんが、砂漠は「植物がほとんど生育しない岩石や砂礫からなる荒野」と定義されるのに対し、砂丘は「風によって運ばれてきた砂が作る丘」と定義されます。したがって鳥取砂丘は砂漠とは異なります。	
狭い場所で大勢の人間が横になって寝ることを、その様子が何匹もの小魚に見えることから何というでしょう?	雑魚寝	小魚の総称を「雑魚」といいます。	
元々は扇をつなぎとめるための部品のことで、転じて大切な人や部分を指す言葉は何でしょう？	要	「チームの要」などといいますね。	
タンゴを大きく2つに分けると、アルゼンチンタンゴと何でしょう？	コンチネンタルタンゴ	ヨーロッパで作られたタンゴを指します。	
魚へんに春と書くのはサワラですが、魚へんに冬と書くのは何でしょう？	コノシロ	魚へんに秋で「カジカ」と読みます。「魚へん」が強調されて読まれている場合は、「木へん」に春で何と読むでしょう？→ツバキ となる可能性があります。強調については以下の記事を参照してください。	
占いに使われる、長さ40cm程度の竹ひごのことを何というでしょう？	筮竹	筮竹を使って行われる占いを易占といいます。	
ハワイ語で「飛び跳ねるノミ」という意味である、ハワイで独自に改良が重ねられて現在の形になった弦楽器といえば何でしょう？	ウクレレ	ポルトガル人がハワイに持ち込んだものが改良されました。弦が4本あることも覚えておきましょう。外来語の由来のクイズについては以下にまとめてあります。	
アラビア語で「季節」という意味である、季節ごとに決まった方向に吹く風のことを何というでしょう？	モンスーン	一般的には大陸と海洋の比熱の差によって発生します。	
リボルバー式の拳銃に1発だけ銃弾を装填し、自らのこめかみに向かって引き金を引くというゲームを、ある国の名前を用いて何というでしょう？	ロシアンルーレット	ここから派生してわさび入りのたこ焼きが1つだけ入っている「ロシアンたこ焼き」などが飲食店やカラオケなどで提供されていますね。	
大相撲の土俵入りの２つの型とは、雲竜型と何でしょう？	不知火型	大まかには、右腕だけを伸ばすのが雲龍型、両腕を伸ばすのが不知火型です。	
東海市があるのは愛知県ですが、西海市があるのはどこでしょう？	長崎県	似た名前の市はこのように所在する都道府県がパラレルで聞かれがちです。	
ロシア、イラン、カザフスタン、トルクメニスタン、アゼルバイジャンに面している、世界最大の湖は何でしょう？	カスピ海	世界一のものはクイズで聞かれやすいです。「海」と名前がついていますが、湖として扱われるのが一般的です。	
「日本三名瀑」に数えられる3つの滝とは、栃木県の華厳の滝、茨城県の袋田の滝と和歌山県の何でしょう？	那智の滝	茨城県の「い」が決まり字となります。3つまとめて覚える系のものは以下の記事にまとめてあります。	
海の中をゆっくりと降下していくプランクトンの死骸などのことを、それが雪のように見えることにちなんだ英語表現で何というでしょう？	マリンスノー	井上直一と鈴木昇が発見・命名しました。	
スライドグラスとカバーガラスにより作製される、顕微鏡観察において試料を観察できるように処理したものを何というでしょう？	プレパラート	スライドガラスに試料を載せ、カバーガラスで覆うことで作製されます。	
自身の著書『リヴァイアサン』で、人間の自然状態を「万人の万人に対する闘争」と表現したイングランドの哲学者は誰でしょう？	トマス・ホッブズ	リヴァイアサンは旧約聖書に登場する怪物です。ホッブズは人間は放っておくと利己的に他者と闘争してしまうため、彼らを支配するために国家が必要だと考えました。この支配者である国家を「リヴァイアサン」にたとえました。	
鋭い目つきで熱心にものを探す様子を、2種類の鳥を用いて何というでしょう？	鵜の目鷹の目	鵜や鷹が獲物を探すときの目つきからこのように言われます。	
和名を「ハダカカメガイ」という、その可愛らしい様子から「流氷の天使」とも呼ばれる生物は何でしょう?	クリオネ	「バッカルコーン」という触手を持っていることも覚えておきましょう。貝の仲間ですが、成長すると貝殻がなくなります。	
クリミア戦争で看護師として従軍した際の働きぶりから「クリミアの天使」と呼ばれるイギリスの看護師は誰でしょう？	フローレンス・ナイチンゲール	クリミア戦争はロシア帝国と、イギリス、オスマン帝国、フランス、サルディーニャ連合軍が争った戦争です。連合軍が勝利してパリ条約が結ばれました。	
トンボなどに見られる、六角形のレンズが無数に集合した構造の眼のことを何というでしょう？	複眼	通常は六角形のレンズで構成されますが、五角形や四角形などのものもあります。複眼に対して、1つのレンズで構成されるものを「単眼」といいます。	
感情を表に出さないで無表情なことを、あるトランプゲームを用いた表現で何というでしょう？	ポーカーフェイス	心理戦を特徴とするポーカーから名付けられました。英語としても伝わります。	
将棋において、1手目に動かすことのできない2つの駒とは桂馬と何でしょう？	角	桂馬の「け」が決まり字となります。桂馬の動く先には歩が、角の動く先には歩、香車、銀があるため動くことができません。	
一般的な巻き寿司の具材で、鉄火巻きに入っているのはマグロですが、鉄砲巻きに入っているのは何でしょう？	かんぴょう	「鉄火」と「鉄砲」が近いので、前半の時点で答えがかんぴょうである可能性が高いです。かっぱ巻きの具材がきゅうりであることも覚えておきましょう。	
出前などの際に料理を入れて運ぶ箱のことを何というでしょう？	岡持ち	見たことはあるけど名前が分からないもののクイズは以下に代表的なものをまとめてあります。	
「がぎぐげご」などの音を「濁音」といいますが、「かきくけこ」などの音を何というでしょう？	清音	「ばびぶべぼ」から問題文が始まった場合は「半濁音」が答えになる可能性もあるので気をつけましょう。	
「料理のさしすせそ」と呼ばれる5つの調味料とは、砂糖、塩、酢、醤油と何でしょう？	味噌	順番的に味噌が聞かれるか、「せ」が付かない醤油が聞かれることが多いです。	
能力の低い者が高い自己評価をしてしまう認知バイアスのことを、提唱した2人の心理学者の名前から何というでしょう？	ダニング=クルーガー効果	デイヴィッド・ダニングとジャスティン・クルーガーはアメリカの心理学者です。2人は2000年にイグノーベル心理学賞を受賞しました。	
「石炭をば早や積み果てつ。」という書き出しで始まる、『文づかい』『うたかたの記』とともに「ドイツ三部作」とされる森鴎外の短編小説は何でしょう？	舞姫	『舞姫』は、日本からドイツに留学した青年太田豊太郎が、現地の女性エリスと恋に落ちるが、帰国のために別れることになる悲劇的な物語です。	
実際には振動していない携帯電話が振動しているように感じてしまう症状のことを英語で何というでしょう？	ファントムバイブレーションシンドローム	日本語の「幻想振動症候群」を英訳したものです。スマホ中毒の症状の1つとして知られています。「実際には振動していない」という文言から後ろの流れを推測できます。	
家を貸している人を大家といいますが、借りている人のことを「店」という漢字を使って何というでしょう？	店子	英語では「テナント」といいます。	
